time,axial,temp,agl
36.3613,-0.21,67.29,1358.24
36.3625,-0.21,67.29,1358.24
36.3638,-0.3,67.29,1358.24
36.365,-0.3,67.29,1358.24
36.3662,-0.21,67.29,1358.24
36.3675,-0.21,67.29,1358.24
36.3688,-0.13,67.29,1358.24
36.37,-0.13,67.29,1358.24
36.3713,-0.13,67.29,1358.24
36.3725,-0.13,67.29,1358.24
36.3737,-0.0400001,67.29,1358.24
36.375,-0.0400001,67.29,1358.24
36.3763,-0.13,67.29,1358.24
36.3775,-0.13,67.29,1358.24
36.3787,-0.21,67.29,1358.24
36.38,-0.21,67.29,1358.24
36.3812,-0.0400001,67.29,1358.24
36.3825,-0.0400001,67.29,1358.24
36.3838,-0.0400001,67.29,1358.24
36.385,-0.0400001,67.29,1358.24
36.3862,-0.21,67.29,1358.24
36.3875,-0.21,67.29,1358.24
36.3887,-0.21,67.29,1358.24
36.39,-0.21,67.29,1358.24
36.3913,-0.13,67.29,1358.24
36.3925,-0.13,67.29,1358.24
36.3937,-0.21,67.29,1358.24
36.395,-0.21,67.29,1353.52
36.3963,-0.13,67.29,1353.52
36.3975,-0.13,67.29,1353.52
36.3988,-0.38,67.29,1353.52
36.4,-0.38,67.29,1353.52
36.4012,-0.3,67.29,1353.52
36.4012,-0.3,67.29,1353.52
36.4012,-0.3,67.29,1353.52
36.4025,-0.3,67.29,1353.52
36.4038,-0.21,67.29,1353.52
36.405,-0.21,67.29,1353.52
36.4063,-0.3,67.29,1353.52
36.4075,-0.3,67.29,1353.52
36.4087,-0.3,67.29,1353.52
36.41,-0.3,67.29,1353.52
36.4113,-0.3,67.29,1353.52
36.4125,-0.3,67.29,1353.52
36.4137,-0.3,67.29,1353.52
36.415,-0.3,67.29,1353.52
36.4162,-0.3,67.29,1353.52
36.4175,-0.3,67.29,1353.52
36.4188,-0.38,67.29,1353.52
36.42,-0.38,67.29,1353.52
36.4212,-0.3,67.29,1353.52
36.4225,-0.3,67.29,1353.52
36.4238,-0.3,67.29,1353.52
36.425,-0.3,67.29,1353.52
36.4263,-0.3,67.29,1353.52
36.4275,-0.3,67.29,1353.52
36.4287,-0.3,67.29,1353.52
36.43,-0.3,67.29,1353.52
36.4313,-0.3,67.29,1353.52
36.4325,-0.3,67.29,1353.52
36.4338,-0.3,67.29,1353.52
36.435,-0.3,67.29,1353.52
36.4362,-0.21,67.29,1353.52
36.4375,-0.21,67.29,1353.52
36.4388,-0.21,67.29,1353.52
36.44,-0.21,67.29,1353.52
36.4412,-0.21,67.29,1353.52
36.4425,-0.21,67.29,1353.52
36.4437,-0.13,67.29,1353.52
36.445,-0.13,67.29,1349.97
36.4463,-0.21,67.29,1349.97
36.4475,-0.21,67.29,1349.97
36.4487,-0.21,67.29,1349.97
36.45,-0.21,67.29,1349.97
36.4512,-0.0400001,67.29,1349.97
36.4512,-0.0400001,67.29,1349.97
36.4512,-0.0400001,67.29,1349.97
36.4525,-0.0400001,67.29,1349.97
36.4538,-0.0400001,67.29,1349.97
36.455,-0.0400001,67.29,1349.97
36.4562,-0.21,67.29,1349.97
36.4575,-0.21,67.29,1349.97
36.4588,-0.0400001,67.29,1349.97
36.46,-0.0400001,67.29,1349.97
36.4613,-0.0400001,67.29,1349.97
36.4625,-0.0400001,67.29,1349.97
36.4637,-0.13,67.29,1349.97
36.465,-0.13,67.29,1349.97
36.4663,-0.21,67.29,1349.97
36.4675,-0.21,67.29,1349.97
36.4688,-0.21,67.29,1349.97
36.47,-0.21,67.29,1349.97
36.4712,-0.0400001,67.29,1349.97
36.4725,-0.0400001,67.29,1349.97
36.4738,-0.21,67.29,1349.97
36.475,-0.21,67.29,1349.97
36.4762,-0.21,67.29,1349.97
36.4775,-0.21,67.29,1349.97
36.4787,-0.21,67.29,1349.97
36.48,-0.21,67.29,1349.97
36.4813,-0.21,67.29,1349.97
36.4825,-0.21,67.29,1349.97
36.4837,-0.21,67.29,1349.97
36.485,-0.21,67.29,1349.97
36.4863,-0.3,67.29,1349.97
36.4875,-0.3,67.29,1349.97
36.4888,-0.38,67.29,1349.97
36.49,-0.38,67.32,1349.97
36.4912,-0.21,67.32,1349.97
36.4925,-0.21,67.32,1349.97
36.4938,-0.3,67.32,1349.97
36.495,-0.3,67.32,1345.25
36.4963,-0.3,67.32,1345.25
36.4975,-0.3,67.32,1345.25
36.4987,-0.38,67.32,1345.25
36.5,-0.38,67.32,1345.25
36.5013,-0.38,67.32,1345.25
36.5013,-0.38,67.32,1345.25
36.5013,-0.38,67.32,1345.25
36.5025,-0.38,67.32,1345.25
36.5037,-0.38,67.32,1345.25
36.505,-0.38,67.32,1345.25
36.5062,-0.38,67.32,1345.25
36.5075,-0.38,67.32,1345.25
36.5088,-0.38,67.32,1345.25
36.51,-0.38,67.32,1345.25
36.5112,-0.38,67.32,1345.25
36.5125,-0.38,67.32,1345.25
36.5137,-0.38,67.32,1345.25
36.515,-0.38,67.32,1345.25
36.5163,-0.38,67.32,1345.25
36.5175,-0.38,67.32,1345.25
36.5187,-0.38,67.32,1345.25
36.52,-0.38,67.32,1345.25
36.5213,-0.38,67.32,1345.25
36.5225,-0.38,67.32,1345.25
36.5238,-0.38,67.32,1345.25
36.525,-0.38,67.32,1345.25
36.5262,-0.38,67.32,1345.25
36.5275,-0.38,67.32,1345.25
36.5288,-0.3,67.32,1345.25
36.53,-0.3,67.32,1345.25
36.5313,-0.21,67.32,1345.25
36.5325,-0.21,67.32,1345.25
36.5337,-0.21,67.32,1345.25
36.535,-0.21,67.32,1345.25
36.5363,-0.3,67.32,1345.25
36.5375,-0.3,67.32,1345.25
36.5387,-0.21,67.32,1345.25
36.54,-0.21,67.32,1345.25
36.5412,-0.21,67.32,1345.25
36.5425,-0.21,67.32,1345.25
36.5438,-0.3,67.32,1345.25
36.545,-0.3,67.32,1341.7
36.5462,-0.21,67.32,1341.7
36.5475,-0.21,67.32,1341.7
36.5488,-0.3,67.32,1341.7
36.55,-0.3,67.32,1341.7
36.5513,-0.21,67.32,1341.7
36.5513,-0.21,67.32,1341.7
36.5513,-0.21,67.32,1341.7
36.5525,-0.21,67.32,1341.7
36.5537,-0.21,67.32,1341.7
36.555,-0.21,67.32,1341.7
36.5563,-0.21,67.32,1341.7
36.5575,-0.21,67.32,1341.7
36.5588,-0.38,67.32,1341.7
36.56,-0.38,67.32,1341.7
36.5612,-0.3,67.32,1341.7
36.5625,-0.3,67.32,1341.7
36.5638,-0.21,67.32,1341.7
36.565,-0.21,67.32,1341.7
36.5662,-0.3,67.32,1341.7
36.5675,-0.3,67.32,1341.7
36.5687,-0.38,67.32,1341.7
36.57,-0.38,67.32,1341.7
36.5713,-0.3,67.32,1341.7
36.5725,-0.3,67.32,1341.7
36.5737,-0.3,67.32,1341.7
36.575,-0.3,67.32,1341.7
36.5762,-0.3,67.32,1341.7
36.5775,-0.3,67.32,1341.7
36.5788,-0.38,67.32,1341.7
36.58,-0.38,67.32,1341.7
36.5812,-0.3,67.32,1341.7
36.5825,-0.3,67.32,1341.7
36.5838,-0.38,67.32,1341.7
36.585,-0.38,67.32,1341.7
36.5863,-0.3,67.32,1341.7
36.5875,-0.3,67.32,1341.7
36.5887,-0.3,67.32,1341.7
36.59,-0.3,67.32,1341.7
36.5913,-0.13,67.32,1341.7
36.5925,-0.13,67.32,1341.7
36.5938,-0.21,67.32,1341.7
36.595,-0.21,67.32,1338.17
36.5962,-0.21,67.32,1338.17
36.5975,-0.21,67.32,1338.17
36.5988,-0.13,67.32,1338.17
36.6,-0.13,67.32,1338.17
36.6012,-0.21,67.32,1338.17
36.6012,-0.21,67.32,1338.17
36.6012,-0.21,67.32,1338.17
36.6025,-0.21,67.32,1338.17
36.6037,-0.3,67.32,1338.17
36.605,-0.3,67.32,1338.17
36.6063,-0.3,67.32,1338.17
36.6075,-0.3,67.32,1338.17
36.6087,-0.3,67.32,1338.17
36.61,-0.3,67.32,1338.17
36.6113,-0.38,67.32,1338.17
36.6125,-0.38,67.32,1338.17
36.6138,-0.38,67.32,1338.17
36.615,-0.38,67.32,1338.17
36.6162,-0.38,67.32,1338.17
36.6175,-0.38,67.32,1338.17
36.6188,-0.38,67.32,1338.17
36.62,-0.38,67.32,1338.17
36.6213,-0.38,67.32,1338.17
36.6225,-0.38,67.32,1338.17
36.6237,-0.38,67.32,1338.17
36.625,-0.38,67.32,1338.17
36.6263,-0.38,67.32,1338.17
36.6275,-0.38,67.32,1338.17
36.6287,-0.38,67.32,1338.17
36.63,-0.38,67.32,1338.17
36.6312,-0.38,67.32,1338.17
36.6325,-0.38,67.32,1338.17
36.6338,-0.38,67.32,1338.17
36.635,-0.38,67.32,1338.17
36.6362,-0.38,67.32,1338.17
36.6375,-0.38,67.32,1338.17
36.6387,-0.38,67.32,1338.17
36.64,-0.38,67.32,1338.17
36.6413,-0.3,67.32,1338.17
36.6425,-0.3,67.32,1338.17
36.6437,-0.3,67.32,1338.17
36.645,-0.3,67.32,1335.8
36.6463,-0.38,67.32,1335.8
36.6475,-0.38,67.32,1335.8
36.6488,-0.3,67.32,1335.8
36.65,-0.3,67.32,1335.8
36.6512,-0.21,67.32,1335.8
36.6512,-0.21,67.32,1335.8
36.6512,-0.21,67.32,1335.8
36.6525,-0.21,67.32,1335.8
36.6538,-0.21,67.32,1335.8
36.655,-0.21,67.32,1335.8
36.6563,-0.3,67.32,1335.8
36.6575,-0.3,67.32,1335.8
36.6587,-0.3,67.32,1335.8
36.66,-0.3,67.32,1335.8
36.6613,-0.21,67.32,1335.8
36.6625,-0.21,67.32,1335.8
36.6637,-0.3,67.32,1335.8
36.665,-0.3,67.32,1335.8
36.6662,-0.3,67.32,1335.8
36.6675,-0.3,67.32,1335.8
36.6688,-0.38,67.32,1335.8
36.67,-0.38,67.32,1335.8
36.6712,-0.38,67.32,1335.8
36.6725,-0.38,67.32,1335.8
36.6738,-0.38,67.32,1335.8
36.675,-0.38,67.32,1335.8
36.6763,-0.38,67.32,1335.8
36.6775,-0.38,67.32,1335.8
36.6787,-0.38,67.32,1335.8
36.68,-0.38,67.32,1335.8
36.6813,-0.38,67.32,1335.8
36.6825,-0.38,67.32,1335.8
36.6838,-0.38,67.32,1335.8
36.685,-0.38,67.32,1335.8
36.6862,-0.3,67.32,1335.8
36.6875,-0.3,67.32,1335.8
36.6888,-0.38,67.32,1335.8
36.69,-0.38,67.32,1335.8
36.6912,-0.38,67.32,1335.8
36.6925,-0.38,67.32,1335.8
36.6937,-0.3,67.32,1335.8
36.695,-0.3,67.32,1333.44
36.6963,-0.21,67.32,1333.44
36.6975,-0.21,67.32,1333.44
36.6987,-0.3,67.32,1333.44
36.7,-0.3,67.32,1333.44
36.7012,-0.3,67.32,1333.44
36.7012,-0.3,67.32,1333.44
36.7012,-0.3,67.32,1333.44
36.7025,-0.3,67.32,1333.44
36.7038,-0.21,67.32,1333.44
36.705,-0.21,67.32,1333.44
36.7062,-0.3,67.32,1333.44
36.7075,-0.3,67.32,1333.44
36.7088,-0.21,67.32,1333.44
36.71,-0.21,67.32,1333.44
36.7113,-0.3,67.32,1333.44
36.7125,-0.3,67.32,1333.44
36.7137,-0.3,67.32,1333.44
36.715,-0.3,67.32,1333.44
36.7163,-0.3,67.32,1333.44
36.7175,-0.3,67.32,1333.44
36.7188,-0.21,67.32,1333.44
36.72,-0.21,67.32,1333.44
36.7212,-0.3,67.32,1333.44
36.7225,-0.3,67.32,1333.44
36.7238,-0.21,67.32,1333.44
36.725,-0.21,67.32,1333.44
36.7262,-0.13,67.32,1333.44
36.7275,-0.13,67.32,1333.44
36.7287,-0.21,67.32,1333.44
36.73,-0.21,67.32,1333.44
36.7313,-0.3,67.32,1333.44
36.7325,-0.3,67.32,1333.44
36.7337,-0.21,67.32,1333.44
36.735,-0.21,67.32,1333.44
36.7363,-0.3,67.32,1333.44
36.7375,-0.3,67.32,1333.44
36.7388,-0.13,67.32,1333.44
36.74,-0.13,67.32,1333.44
36.7412,-0.21,67.32,1333.44
36.7425,-0.21,67.32,1333.44
36.7438,-0.21,67.32,1333.44
