axialtime,axialaccel,bILBA,timptime,temp,bILBA,agltime,agl,bILBA
0.64875,15.79,b1100,12.99,66.84,b1110,12.995,2747.7,b1110
0.65125,15.7,b1100,13.04,66.84,b1110,13.045,2748.93,b1110
0.65375,15.7,b1100,13.09,66.84,b1110,13.095,2750.16,b1110
0.65625,15.62,b1100,13.14,66.84,b1110,13.145,2750.16,b1110
0.65875,15.79,b1100,13.19,66.84,b1110,13.195,2750.16,b1110
0.66125,15.7,b1100,13.24,66.84,b1110,13.245,2750.16,b1110
0.66375,15.62,b1100,13.29,66.87,b1110,13.295,2750.16,b1110
0.66625,15.7,b1100,13.34,66.84,b1110,13.345,2750.16,b1110
0.66875,15.62,b1100,13.39,66.84,b1110,13.395,2750.16,b1110
0.67125,15.7,b1100,13.44,66.84,b1110,13.445,2750.16,b1110
0.67375,15.62,b1100,13.49,66.84,b1110,13.495,2751.4,b1110
0.67625,15.7,b1100,13.54,66.87,b1110,13.545,2750.16,b1110
0.67875,15.7,b1100,13.59,66.87,b1110,13.595,2751.4,b1110
0.68125,15.45,b1100,13.64,66.87,b1110,13.645,2750.16,b1110
0.68375,15.45,b1100,13.69,66.87,b1110,13.695,2751.4,b1110
0.68625,15.7,b1100,13.74,66.84,b1111,13.745,2751.4,b1111
0.68875,15.7,b1100,13.79,66.87,b1111,13.795,2751.4,b1111
0.69125,15.54,b1100,13.84,66.87,b1111,13.845,2751.4,b1111
0.69375,15.37,b1100,13.89,66.87,b1111,13.895,2752.63,b1111
0.69625,15.62,b1100,13.94,66.87,b1111,13.945,2752.63,b1111
0.69875,15.37,b1100,13.99,66.87,b1111,13.995,2752.63,b1111
0.70125,15.54,b1100,14.04,66.87,b1111,14.045,2751.4,b1111
0.70375,15.7,b1100,14.09,66.84,b1111,14.095,2751.4,b1111
0.70625,15.54,b1100,14.14,66.84,b1111,14.145,2750.16,b1111
0.70875,15.62,b1100,14.19,66.84,b1111,14.195,2748.93,b1111
0.71125,15.45,b1100,14.24,66.84,b1111,14.245,2746.47,b1111
0.71375,15.37,b1100,14.29,66.84,b1111,14.295,2745.24,b1111
0.71625,15.37,b1100,14.34,66.81,b1111,14.345,2741.55,b1111
0.71875,15.28,b1100,14.39,66.81,b1111,14.395,2740.32,b1111
0.72125,15.28,b1100,14.44,66.81,b1111,14.445,2746.47,b1111
0.72375,15.28,b1100,14.49,66.81,b1110,14.495,2746.47,b1110
0.72625,15.45,b1100,14.54,66.81,b1110,14.545,2746.47,b1110
0.72875,15.37,b1100,14.59,66.81,b1110,14.595,2748.93,b1110
0.73125,15.37,b1100,14.64,66.81,b1111,14.645,2748.93,b1111
0.73375,15.28,b1100,14.69,66.81,b1111,14.695,2750.16,b1111
0.73625,15.12,b1100,14.74,66.81,b1111,14.745,2747.7,b1111
0.73875,15.12,b1100,14.79,66.81,b1111,14.795,2774.81,b1111
0.74125,15.37,b1100,14.84,66.81,b1111,14.845,2762.48,b1111
0.74375,15.12,b1100,14.89,66.81,b1111,14.895,2753.86,b1111
0.74625,15.12,b1100,14.94,66.81,b1111,14.945,2746.47,b1111
0.74875,15.03,b1100,14.99,66.84,b1111,14.995,2740.32,b1111
0.75125,15.03,b1100,15.04,66.81,b1111,15.045,2735.39,b1111
0.75375,15.03,b1100,15.09,66.81,b1111,15.095,2731.7,b1111
0.75625,15.03,b1100,15.14,66.81,b1111,15.145,2726.78,b1111
0.75875,14.87,b1100,15.19,66.81,b1111,15.195,2723.08,b1111
